,favorite_count,retweet_count,polarity,likability,name,screen_name,industry,controversial
41,0.00012793296312732123,0.0045752239290154035,0.5277971910816373,0.3417437584460604,Adele,Adele,musician,0
7,0.00026630807361704436,0.0018221415071619435,0.5647683546061524,0.3639914892285877,Anna Kendrick,AnnaKendrick47,celebrity,0
48,2.4719190001582028e-06,0.0169229101326661,0.5888775584018349,0.3877938584125146,Beyonce,Beyonce,musician,0
42,8.397819024951761e-05,0.0048586221183257285,0.5659217208785647,0.36640313453334594,Bruno Mars,BrunoMars,musician,0
10,0.0003114617940199337,0.0006561881554367728,0.5213130651755649,0.3354204270443648,Caitlyn Jenner,Caitlyn_Jenner,celebrity,1
22,9.239656606153613e-05,0.004462143932408879,0.596237402091394,0.3856695943130379,Cristiano Ronaldo,Cristiano,athlete,0
11,0.0005225282429822482,0.000214035200458,0.5776856951195696,0.37140913987062246,Mehmet Oz,DrOz,celebrity,1
59,0.00011100470423486228,0.0009667445915979522,0.5521089986525926,0.3553844914450163,Eminem,Eminem,musician,1
6,0.0014008032925075628,0.0008700432830085145,0.666821159840827,0.42905934510583094,Emma Watson,EmmaWatson,celebrity,0
60,0.0002078120941170041,0.0013268059953962029,0.5630119478144177,0.3625901263206861,Fergie,Fergie,musician,1
18,0.0008189661258666216,0.0001346740297228871,0.5859399759149299,0.3766706929463148,Gwyneth Paltrow,GwynethPaltrow,celebrity,1
5,0.000612104869101321,0.00013804626936858057,0.5665323188616502,0.3641988166502977,Gina Rodriguez,HereIsGina,celebrity,0
52,0.0003721542374107529,0.0008462478575577151,0.5635608534344401,0.36267856774749463,John Mayer,JohnMayer,musician,1
30,0.0001549764575964163,0.000401628317753482,0.59083173253532,0.3799615834304739,Kevin Durant,KDTrey5,athlete,1
37,0.00012767415915983569,0.002421384114673872,0.5209208236362233,0.33613934927527334,Colin Kaepernick,Kaepernick7,athlete,1
14,0.0004380224698462155,0.00024052107675448387,0.5600752857072635,0.36010510915235344,Kevin Spacey,KevinSpacey,celebrity,1
17,3.249315322842686e-05,0.007044405280105072,0.5051511565613385,0.3285469331685613,Kim Kardashian,KimKardashian,celebrity,1
32,0.00021510032001376665,0.0013406333356093495,0.5596473670874532,0.3604352420572784,Lebron James,KingJames,athlete,1
34,0.00013106017600838775,0.00037611761124200686,0.5307514167283076,0.34133259952057937,Lavar Ball,Lavarbigballer,athlete,1
3,0.00021019709453634774,0.0001598669309739219,0.5774750532066818,0.3712439579781646,Leonardo Dicaprio,LeoDiCaprio,celebrity,0
21,0.00021996692910996837,0.00044478430022900354,0.5902930748509845,0.37963911606569933,Lionel Messi,Lionel_Messi,athlete,0
56,7.647143791793762e-05,0.010024898695756389,0.5394017760266137,0.35220011843234117,Miley Cyrus,MileyCyrus,musician,1
33,0.0010253886222878477,0.00015698400726853147,0.5531103064745052,0.3555826093439373,Draymond Green,Money23Green,athlete,1
9,0.00010527323188821889,0.005828254853127296,0.5529676345316775,0.35861064573900436,Oprah Winfrey,Oprah,celebrity,0
31,0.00037827703036084366,0.00013612556624371616,0.53146930764505,0.3416619856239775,Rajon Rondo,RajonRondo,athlete,1
40,0.00015903197123030374,0.002950612161371273,0.5156171683012618,0.33302169786913327,Tristan Thompson,RealTristan13,athlete,1
39,0.00018266716900138148,0.00028624238781753294,0.5551957667010822,0.3569940851767238,Ronda Rousey,RondaRousey,athlete,1
