name,screen_name,industry,controversial
Dwayne Johnson,TheRock,celebrity,0
Tom Hanks,tomhanks,celebrity,0
Chris Pratt,prattprattpratt,celebrity,0
Leonardo Dicaprio,LeoDiCaprio,celebrity,0
Jimmy Fallon,jimmyfallon,celebrity,0
Gina Rodriguez,HereIsGina,celebrity,0
Emma Watson,EmmaWatson,celebrity,0
Anna Kendrick,AnnaKendrick47,celebrity,0
Ellen Degeneres,TheEllenShow,celebrity,0
Oprah Winfrey,Oprah,celebrity,0
Caitlyn Jenner,Caitlyn_Jenner,celebrity,1
Mehmet Oz,DrOz,celebrity,1
Piers Morgan,piersmorgan,celebrity,1
Ashton Kutcher,aplusk,celebrity,1
Kevin Spacey,KevinSpacey,celebrity,1
Chelsea Handler,chelseahandler,celebrity,1
Lindsay Lohan,lindsaylohan,celebrity,1
Kim Kardashian,KimKardashian,celebrity,1
Gwyneth Paltrow,GwynethPaltrow,celebrity,1
Kristen Stewart,_KrisJStewart,celebrity,1
Kristaps Porzingis,kporzee,athlete,0
Lionel Messi,Lionel_Messi,athlete,0
Cristiano Ronaldo,Cristiano,athlete,0
Russell Westbrook,russwest44,athlete,0
Steph Curry,StephenCurry30,athlete,0
Roger Federer,rogerfederer,athlete,0
Serena Williams,serenawilliams,athlete,0
Chloe Kim,chloekimsnow,athlete,0
Lindsey Vonn,lindseyvonn,athlete,0
Shaun White,shaunwhite,athlete,0
Kevin Durant,KDTrey5,athlete,1
Rajon Rondo,RajonRondo,athlete,1
Lebron James,KingJames,athlete,1
Draymond Green,Money23Green,athlete,1
Lavar Ball,Lavarbigballer,athlete,1
Tiger Woods,TigerWoods,athlete,1
Lance Armstrong,lancearmstrong,athlete,1
Colin Kaepernick,Kaepernick7,athlete,1
Hope Solo,hopesolo,athlete,1
Ronda Rousey,RondaRousey,athlete,1
Adele,Adele,musician,0
Bruno Mars,BrunoMars,musician,0
Selena Gomez,selenagomez,musician,0
Coldplay,coldplay,musician,0
Ed Sheeran,edsheeran,musician,0
John Legend,johnlegend,musician,0
Shakira,shakira,musician,0
Beyonce,Beyonce,musician,0
Nick Jonas,nickjonas,musician,0
Jason Mraz,jason_mraz,musician,0
Tyler The Creator,tylerthecreator,musician,1
John Mayer,JohnMayer,musician,1
Taylor Swift,taylorswift13,musician,1
Britney Spears,britneyspears,musician,1
Justin Bieber,justinbieber,musician,1
Miley Cyrus,MileyCyrus,musician,1
Marilyn Manson,marilynmanson,musician,1
Chris Brown,chrisbrown,musician,1
Eminem,Eminem,musician,1
Fergie,Fergie,musician,1
